0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996,0.35999996
0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996,0.51999996
0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996,0.67999996
0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996,0.83999996
0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996,0.99999996
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
